customer_id,company_name,company_type,industry,size_group,phone
6,Company_6,LLC,Technology,Micro,0987251709
8,Company_8,LLC,Education,Small,0945288840
11,Company_11,SME,Construction,Medium,0999220996
14,Company_14,LLC,Technology,Medium,0999430398
32,Company_32,LLC,Logistics,Small,0969829451
33,Company_33,JSC,Healthcare,Micro,0986707937
40,Company_40,JSC,Technology,Micro,0974134748
45,Company_45,JSC,Agriculture,Micro,0974298086
48,Company_48,JSC,Agriculture,Medium,0957395453
50,Company_50,LLC,Education,Small,0919081409
52,Company_52,JSC,Retail,Micro,0939283505
56,Company_56,LLC,Retail,Micro,0910976059
64,Company_64,LLC,Construction,Micro,0978139444
67,Company_67,LLC,Healthcare,Micro,0960531416
70,Company_70,LLC,Construction,Micro,0942830335
71,Company_71,SME,Technology,Large,0973721920
82,Company_82,LLC,Healthcare,Large,0916961381
85,Company_85,LLC,Education,Micro,0975923292
95,Company_95,LLC,F&B,Large,0931663980
99,Company_99,LLC,F&B,Micro,0959028011
102,Company_102,LLC,Logistics,Medium,0936727327
105,Company_105,SME,Manufacturing,Large,0976448853
108,Company_108,JSC,Retail,Micro,0946154662
115,Company_115,LLC,Manufacturing,Large,0943100612
127,Company_127,LLC,Logistics,Medium,0994822185
137,Company_137,JSC,Entertainment/Services,Large,0942288023
143,Company_143,LLC,Technology,Micro,0955469535
150,Company_150,JSC,Healthcare,Large,0980790480
156,Company_156,SME,Logistics,Micro,0927719836
181,Company_181,SME,Healthcare,Medium,0954869008
183,Company_183,JSC,Agriculture,Large,0939177763
184,Company_184,SME,F&B,Micro,0976447914
188,Company_188,JSC,Technology,Micro,0963574506
190,Company_190,JSC,Logistics,Large,0997943252
197,Company_197,LLC,Retail,Large,0914089228
217,Company_217,JSC,F&B,Micro,0924701467
220,Company_220,LLC,F&B,Large,0966083685
223,Company_223,LLC,Manufacturing,Medium,0943938252
233,Company_233,LLC,F&B,Medium,0995256391
244,Company_244,JSC,Entertainment/Services,Micro,0930344028
247,Company_247,LLC,Healthcare,Large,0980341022
262,Company_262,SME,Retail,Small,0948376412
266,Company_266,JSC,Entertainment/Services,Small,0957139650
272,Company_272,LLC,Technology,Medium,0937640474
303,Company_303,LLC,Entertainment/Services,Micro,0983545983
305,Company_305,JSC,Agriculture,Large,0971153738
307,Company_307,JSC,Entertainment/Services,Small,0919238774
308,Company_308,LLC,Retail,Small,0947803572
311,Company_311,LLC,Entertainment/Services,Micro,0918115979
319,Company_319,LLC,Manufacturing,Small,0923947608
328,Company_328,SME,Healthcare,Large,0932214641
330,Company_330,JSC,Logistics,Large,0989236978
332,Company_332,SME,Technology,Small,0921094361
335,Company_335,LLC,Agriculture,Medium,0947406768
341,Company_341,JSC,Healthcare,Large,0928889312
344,Company_344,JSC,Education,Large,0944926005
349,Company_349,SME,Logistics,Large,0972207183
351,Company_351,SME,Technology,Large,0927131463
369,Company_369,SME,Agriculture,Micro,0947664095
373,Company_373,JSC,Construction,Medium,0960371723
387,Company_387,LLC,Entertainment/Services,Micro,0963831756
390,Company_390,LLC,Technology,Micro,0917233753
395,Company_395,SME,Education,Small,0933724690
413,Company_413,SME,Healthcare,Micro,0915272027
421,Company_421,JSC,Retail,Medium,0955265269
427,Company_427,SME,Logistics,Medium,0988985302
433,Company_433,SME,Agriculture,Large,0970710988
439,Company_439,LLC,Construction,Small,0928058440
448,Company_448,SME,Entertainment/Services,Small,0981607808
460,Company_460,JSC,Manufacturing,Small,0955475994
470,Company_470,JSC,F&B,Large,0953112588
476,Company_476,LLC,Agriculture,Small,0955365655
493,Company_493,SME,Education,Small,0995513857
505,Company_505,JSC,Retail,Medium,0927781128
520,Company_520,LLC,Technology,Medium,0972442718
522,Company_522,SME,Entertainment/Services,Micro,0987339413
524,Company_524,SME,Technology,Medium,0971853420
526,Company_526,SME,Agriculture,Medium,0982519847
527,Company_527,JSC,Technology,Medium,0970962986
532,Company_532,SME,Education,Medium,0949056900
535,Company_535,SME,Entertainment/Services,Small,0960779809
548,Company_548,SME,Construction,Medium,0918378699
550,Company_550,JSC,Technology,Micro,0962424152
552,Company_552,JSC,Agriculture,Small,0969221771
561,Company_561,JSC,Entertainment/Services,Large,0933981894
570,Company_570,JSC,Technology,Micro,0970475344
573,Company_573,SME,Entertainment/Services,Small,0953991060
577,Company_577,LLC,Agriculture,Large,0931270713
580,Company_580,SME,Agriculture,Small,0958857717
591,Company_591,SME,Healthcare,Large,0972836887
598,Company_598,JSC,Logistics,Medium,0961776666
608,Company_608,SME,Logistics,Micro,0956307234
626,Company_626,LLC,Construction,Small,0934800255
629,Company_629,LLC,Education,Large,0997920589
631,Company_631,JSC,Technology,Large,0990131903
633,Company_633,SME,Education,Small,0976176652
639,Company_639,JSC,Healthcare,Micro,0934398692
645,Company_645,LLC,Education,Micro,0968725860
654,Company_654,LLC,Manufacturing,Large,0962646582
677,Company_677,LLC,Construction,Medium,0984983192
686,Company_686,LLC,Construction,Micro,0941468166
695,Company_695,LLC,Education,Small,0950713687
699,Company_699,JSC,Healthcare,Micro,0948876403
705,Company_705,SME,Logistics,Micro,0940495240
706,Company_706,SME,Agriculture,Large,0972012865
709,Company_709,LLC,F&B,Large,0978844103
711,Company_711,SME,Construction,Medium,0973337467
730,Company_730,JSC,Manufacturing,Micro,0991241207
743,Company_743,SME,Construction,Medium,0988072512
748,Company_748,JSC,F&B,Small,0947893055
749,Company_749,JSC,Healthcare,Micro,0924935166
766,Company_766,JSC,Retail,Micro,0954847349
770,Company_770,SME,Logistics,Large,0924995331
778,Company_778,LLC,Retail,Micro,0993378895
782,Company_782,LLC,Logistics,Large,0931307971
783,Company_783,LLC,F&B,Small,0921474194
788,Company_788,LLC,Agriculture,Micro,0910222130
794,Company_794,JSC,Education,Large,0956748318
804,Company_804,LLC,Manufacturing,Large,0993454204
814,Company_814,LLC,Healthcare,Micro,0988468661
817,Company_817,SME,Entertainment/Services,Micro,0957380782
818,Company_818,SME,Retail,Small,0949773432
820,Company_820,LLC,Retail,Large,0985466557
825,Company_825,LLC,Healthcare,Medium,0996152418
826,Company_826,SME,F&B,Large,0951396079
828,Company_828,LLC,F&B,Small,0931998187
843,Company_843,SME,Logistics,Medium,0929125328
846,Company_846,JSC,Agriculture,Small,0922234785
850,Company_850,LLC,Logistics,Micro,0998795490
851,Company_851,JSC,Logistics,Micro,0984814449
854,Company_854,JSC,Logistics,Micro,0967757867
858,Company_858,SME,Agriculture,Micro,0993907763
861,Company_861,JSC,Retail,Large,0976404111
862,Company_862,JSC,Retail,Large,0948411995
865,Company_865,JSC,Manufacturing,Medium,0956983024
877,Company_877,SME,Agriculture,Small,0937801921
899,Company_899,JSC,Entertainment/Services,Large,0970859246
902,Company_902,LLC,Education,Micro,0917735140
903,Company_903,LLC,Logistics,Medium,0964483014
909,Company_909,LLC,Technology,Large,0986197044
919,Company_919,SME,Logistics,Micro,0967014064
921,Company_921,SME,Manufacturing,Medium,0910436999
923,Company_923,JSC,Healthcare,Micro,0990398738
926,Company_926,LLC,Technology,Medium,0931414349
929,Company_929,SME,Retail,Large,0996494673
932,Company_932,JSC,F&B,Micro,0954735437
953,Company_953,SME,Manufacturing,Large,0986894084
955,Company_955,SME,Retail,Small,0970240701
956,Company_956,SME,Technology,Small,0946128221
959,Company_959,JSC,Entertainment/Services,Medium,0971233464
963,Company_963,JSC,Manufacturing,Medium,0911416879
969,Company_969,LLC,Education,Micro,0932094553
973,Company_973,LLC,Agriculture,Large,0979098488
980,Company_980,LLC,Retail,Medium,0912340842
987,Company_987,JSC,F&B,Medium,0962805861
1007,Company_1007,JSC,Education,Large,0934487405
1009,Company_1009,JSC,Entertainment/Services,Medium,0994050013
1013,Company_1013,SME,Education,Medium,0957910811
1025,Company_1025,SME,Healthcare,Micro,0956018428
1032,Company_1032,SME,F&B,Medium,0988544102
1042,Company_1042,JSC,Technology,Medium,0944501252
1050,Company_1050,SME,Retail,Large,0920478107
1056,Company_1056,JSC,Agriculture,Large,0913149206
1061,Company_1061,SME,Agriculture,Micro,0977688571
1069,Company_1069,JSC,Technology,Small,0987978983
1074,Company_1074,LLC,Manufacturing,Small,0954424156
1077,Company_1077,JSC,Logistics,Medium,0949265303
1082,Company_1082,JSC,Manufacturing,Large,0983081937
1128,Company_1128,LLC,Entertainment/Services,Large,0943270642
1132,Company_1132,JSC,Entertainment/Services,Micro,0985460583
1133,Company_1133,JSC,Retail,Large,0968266545
1156,Company_1156,LLC,Logistics,Micro,0911259420
1158,Company_1158,JSC,Healthcare,Medium,0970310293
1162,Company_1162,LLC,Retail,Medium,0916625010
1168,Company_1168,LLC,Retail,Medium,0950181898
1174,Company_1174,JSC,Education,Medium,0943420492
1177,Company_1177,SME,Entertainment/Services,Medium,0935097227
1181,Company_1181,SME,Technology,Large,0940333041
1183,Company_1183,LLC,Agriculture,Micro,0913180778
1185,Company_1185,SME,Retail,Micro,0956766791
1187,Company_1187,SME,Manufacturing,Micro,0952262428
1194,Company_1194,LLC,Agriculture,Large,0968520618
1217,Company_1217,JSC,Retail,Micro,0973473110
1229,Company_1229,JSC,Healthcare,Medium,0956368400
1233,Company_1233,JSC,Agriculture,Large,0921056765
1242,Company_1242,LLC,Construction,Small,0952480546
1246,Company_1246,JSC,Retail,Large,0913965116
1261,Company_1261,LLC,Entertainment/Services,Medium,0915298684
1263,Company_1263,JSC,Education,Micro,0992967090
1266,Company_1266,SME,Agriculture,Micro,0957215984
1288,Company_1288,SME,Education,Large,0926384138
1296,Company_1296,SME,Logistics,Large,0957554685
1297,Company_1297,LLC,Manufacturing,Medium,0932211676
1299,Company_1299,JSC,Agriculture,Large,0979231571
1300,Company_1300,JSC,F&B,Large,0958382164
1304,Company_1304,SME,Education,Medium,0930268412
1309,Company_1309,LLC,Retail,Micro,0979254467
1310,Company_1310,JSC,Agriculture,Micro,0913178925
1313,Company_1313,LLC,Healthcare,Large,0948224883
1316,Company_1316,LLC,Technology,Micro,0948838780
1339,Company_1339,SME,F&B,Medium,0972229463
1345,Company_1345,SME,Technology,Medium,0962607832
1346,Company_1346,JSC,Technology,Small,0971953468
1350,Company_1350,JSC,Agriculture,Micro,0961784978
1352,Company_1352,LLC,Entertainment/Services,Large,0988504053
1357,Company_1357,JSC,Entertainment/Services,Medium,0976597159
1362,Company_1362,LLC,F&B,Medium,0995018517
1365,Company_1365,JSC,Retail,Large,0941052905
1386,Company_1386,JSC,Agriculture,Micro,0987891186
1394,Company_1394,LLC,Education,Micro,0949132065
1400,Company_1400,JSC,Technology,Micro,0950171806
1411,Company_1411,JSC,Retail,Medium,0981229571
1412,Company_1412,SME,Manufacturing,Medium,0974882341
1415,Company_1415,JSC,Education,Large,0938661805
1418,Company_1418,JSC,Education,Micro,0991455346
1431,Company_1431,LLC,Education,Micro,0952216423
1432,Company_1432,LLC,Agriculture,Medium,0960783510
1435,Company_1435,JSC,Entertainment/Services,Small,0985691877
1436,Company_1436,LLC,Technology,Small,0923845280
1439,Company_1439,LLC,Manufacturing,Large,0944841799
1452,Company_1452,LLC,Retail,Medium,0941154942
1459,Company_1459,SME,Manufacturing,Large,0966172370
1460,Company_1460,LLC,Manufacturing,Medium,0933167730
1470,Company_1470,JSC,Construction,Micro,0946325279
1481,Company_1481,JSC,Manufacturing,Large,0990293599
1489,Company_1489,SME,Retail,Medium,0958582434
1490,Company_1490,LLC,Manufacturing,Large,0956842562
1491,Company_1491,LLC,Construction,Medium,0975955983
1502,Company_1502,JSC,Manufacturing,Micro,0989179493
1507,Company_1507,SME,Construction,Small,0962489365
1509,Company_1509,LLC,Entertainment/Services,Micro,0924647265
1516,Company_1516,SME,Healthcare,Small,0942784053
1517,Company_1517,LLC,Logistics,Medium,0999481748
1520,Company_1520,JSC,Manufacturing,Micro,0930238505
1521,Company_1521,LLC,Healthcare,Micro,0997668054
1524,Company_1524,JSC,Agriculture,Micro,0979821475
1528,Company_1528,LLC,Technology,Medium,0925707523
1536,Company_1536,SME,Healthcare,Large,0925258314
1542,Company_1542,LLC,Healthcare,Medium,0940002082
